,transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,Name,gender,past_3_years_bike_related_purchases,Age,job_title,job_industry_category,wealth_segment,owns_car,tenure
0,94,86,1,12/23/2017,0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,38482,Laraine Medendorp,Female,93,69.58,Executive Secretary,Health,Mass Customer,Yes,11
1,3765,38,1,4/6/2017,1,Approved,Solex,Standard,medium,medium,1577.53,826.51,39526,Laraine Medendorp,Female,93,69.58,Executive Secretary,Health,Mass Customer,Yes,11
2,5157,47,1,5/11/2017,1,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,37823,Laraine Medendorp,Female,93,69.58,Executive Secretary,Health,Mass Customer,Yes,11
3,9785,72,1,1/5/2017,0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,37873,Laraine Medendorp,Female,93,69.58,Executive Secretary,Health,Mass Customer,Yes,11
4,13424,2,1,2/21/2017,0,Approved,Solex,Standard,medium,medium,71.49,53.62,38573,Laraine Medendorp,Female,93,69.58,Executive Secretary,Health,Mass Customer,Yes,11
5,13644,25,1,5/19/2017,0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,33552,Laraine Medendorp,Female,93,69.58,Executive Secretary,Health,Mass Customer,Yes,11
6,14486,23,1,3/27/2017,0,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,33455,Laraine Medendorp,Female,93,69.58,Executive Secretary,Health,Mass Customer,Yes,11
7,14931,31,1,12/14/2017,1,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,37337,Laraine Medendorp,Female,93,69.58,Executive Secretary,Health,Mass Customer,Yes,11
8,15663,32,1,6/4/2017,1,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,40618,Laraine Medendorp,Female,93,69.58,Executive Secretary,Health,Mass Customer,Yes,11
9,16423,9,1,12/9/2017,1,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,37838,Laraine Medendorp,Female,93,69.58,Executive Secretary,Health,Mass Customer,Yes,11
10,18970,11,1,3/29/2017,1,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,35378,Laraine Medendorp,Female,93,69.58,Executive Secretary,Health,Mass Customer,Yes,11
11,2261,1,2,5/4/2017,1,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,40784,Eli Bockman,Male,81,42.38,Administrative Officer,Financial Services,Mass Customer,Yes,16
12,6743,85,2,6/11/2017,0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,38206,Eli Bockman,Male,81,42.38,Administrative Officer,Financial Services,Mass Customer,Yes,16
13,16411,26,2,8/24/2017,0,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,37337,Eli Bockman,Male,81,42.38,Administrative Officer,Financial Services,Mass Customer,Yes,16
14,10302,33,3,2/23/2017,0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,41009,Arlin Dearle,Male,61,69.3,Recruiting Manager,Property,Mass Customer,Yes,15
15,11005,94,3,9/16/2017,0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,41009,Arlin Dearle,Male,61,69.3,Recruiting Manager,Property,Mass Customer,Yes,15
16,11784,55,3,4/21/2017,1,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,41701,Arlin Dearle,Male,61,69.3,Recruiting Manager,Property,Mass Customer,Yes,15
17,12954,77,3,4/5/2017,0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,36833,Arlin Dearle,Male,61,69.3,Recruiting Manager,Property,Mass Customer,Yes,15
18,13285,47,3,9/4/2017,0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,40303,Arlin Dearle,Male,61,69.3,Recruiting Manager,Property,Mass Customer,Yes,15
19,15188,82,3,3/24/2017,0,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,37499,Arlin Dearle,Male,61,69.3,Recruiting Manager,Property,Mass Customer,Yes,15
20,19498,5,3,9/19/2017,0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,36145,Arlin Dearle,Male,61,69.3,Recruiting Manager,Property,Mass Customer,Yes,15
